SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,FIN,1,13,0.875,10003.0,7,7000.0,AUT,1988
H0,GP,FIN,1,25,379.39799999999997,115695.0,8,115695.0,COL,1988
H0,GP,CHE,1,03,1623.763,7885570.0,8,7885570.0,YUG,1988
H0,GP,FIN,1,31,329.625,165039.0,8,165039.0,TUN,1988
H0,GP,FIN,1,08,1742.1650000000002,81264.0,8,81264.0,ISR,1988
H0,GP,FIN,1,18,767.132,5039089.0,8,5039089.0,GRC,1988
H0,GP,CHE,1,25,97102.03200000004,5.402893E7,8,5.402893E7,NLD,1988
H0,GP,CHE,1,09,78.321,29.0,8,29.0,ITA,1988
H0,GP,CHE,1,13,7.25,16376.0,7,11875.0,YUG,1988
H0,GP,CHE,1,10,45.813,0.0,-1,,ROM,1988
H0,GP,ISL,1,27,136.846,11763.0,8,11763.0,BRA,1988
H0,GP,ISL,1,39,223.018,1476.0,8,1476.0,CAN,1988
H0,GP,ISL,1,26,47.951,13529.0,8,13529.0,DDR,1988
H0,GP,ISL,1,27,104.043,11013.0,8,11013.0,HUN,1988
H0,GP,ISL,1,27,58.208999999999996,2699.0,8,2699.0,IDN,1988
H0,GP,ISL,1,27,1.128,35.0,8,35.0,JAM,1988
H0,GP,ISL,1,25,0.613,984.0,8,984.0,NZL,1988
H0,GP,ISL,1,14,20.253,1084.0,8,1084.0,GBR,1988
H0,GP,ISL,1,26,0.098,2000.0,5,2.0,UNS,1988
H0,GP,ISL,1,35,0.077,0.0,-1,,UNS,1988
H0,GP,KOR,1,34,39289.08399999999,1.95167E7,8,1.95167E7,DDR,1988
H0,GP,KOR,1,33,7585.757999999999,1623044.0,8,1623044.0,IRL,1988
H0,GP,KOR,1,14,1065.27,172373.0,8,172373.0,OAS,1988
H0,GP,KOR,1,13,58.855999999999995,35699.0,8,35699.0,GBR,1988
H0,GP,KOR,1,42,3626.8639999999996,307685.0,8,307685.0,GBR,1988
H0,GP,KOR,1,34,79.067,2825.0,7,2937.0,JPN,1988
H0,GP,KOR,1,30,42.97,245049.0,7,147000.0,SPE,1988
H0,GP,KOR,1,33,129.184,0.0,-1,,SWE,1988
H0,GP,KOR,1,39,253.68900000000002,0.0,-1,,WLD,1988
H0,GP,GRC,1,09,44.456,27104.0,8,27104.0,ALB,1988
H0,GP,GRC,1,29,222.63599999999997,11875.0,8,11875.0,AUT,1988
H0,GP,GRC,1,26,4855.879,7253085.0,8,7253085.0,BLX,1988
H0,GP,GRC,1,29,123.209,3874.0,8,3874.0,BGD,1988
H0,GP,GRC,1,31,22.167,3375.0,8,3375.0,COL,1988
H0,GP,GRC,1,33,13108.489999999998,2002032.0,8,2002032.0,DNK,1988
H0,GP,GRC,1,22,341.52599999999995,228033.0,7,196065.0,DNK,1988
H0,GP,GRC,1,39,67.027,0.0,-1,,ITA,1988
H0,GP,GRC,1,09,1209.613,345124.0,8,345124.0,NLD,1988
H0,GP,GRC,1,30,84.999,62323.0,8,62323.0,POL,1988
H0,GP,GRC,1,10,2.33,128.0,8,128.0,IND,1988
H0,GP,GRC,1,30,604.6310000000001,769235.0,8,769235.0,ESP,1988
H0,GP,GRC,1,13,79.291,382972.0,7,268000.0,SVU,1988
H0,GP,GRC,1,28,71.027,1221.0,8,1221.0,EGY,1988
H0,GP,GRC,1,30,4279.731000000002,1.1610843E7,8,1.1610843E7,YUG,1988
H0,GP,FIN,1,30,834.4220000000003,1930108.0,8,1930108.0,CSK,1988
H0,GP,PRT,1,41,2922.8849999999998,0.0,-1,,NLD,1988
H0,GP,PRT,1,04,3.47,2812.0,8,2812.0,GUY,1988
H0,GP,PRT,1,07,55106.596,3.4690164E7,8,3.4690164E7,PAK,1988
H0,GP,PRT,1,24,2932.366,3.5811772E7,8,3.5811772E7,PAK,1988
H0,GP,PRT,1,41,1462.282,157197.0,8,157197.0,HUN,1988
H0,GP,PRT,1,03,7098.051,4.4473535E7,8,4.4473535E7,AUS,1988
H0,GP,PRT,1,31,37081.90599999999,1.290396E7,8,1.290396E7,DDR,1988
H0,GP,PRT,1,34,2464.219,1745697.0,8,1745697.0,CHN,1988
H0,GP,JPN,1,35,22075.564999999995,2.1435081E7,8,2.1435081E7,FRA,1988
H0,GP,JPN,1,33,4.097,20.0,8,20.0,GLP,1988
H0,GP,JPN,1,08,18.449,515.0,8,515.0,FJI,1988
H0,GP,JPN,1,30,3.23,35.0,8,35.0,SYR,1988
H0,GP,JPN,1,33,387.235,3424.0,8,3424.0,URY,1988
H0,GP,JPN,1,36,135230.08399999997,6.101979E7,8,6.101979E7,PRK,1988
H0,GP,FIN,1,14,27.819,3957.0,8,3957.0,NLD,1988
H0,GP,DDR,1,42,10997.0,0.0,-1,,CHN,1988
H0,GP,DDR,1,42,1252756.008,0.0,-1,,WLD,1988
H0,GP,DDR,1,30,164.0,137596.0,7,92880.0,JPN,1988
H0,GP,DDR,1,30,56.0,162330.0,7,113597.0,MOZ,1988
H0,GP,DDR,1,30,61.0,192548.0,7,130097.0,PRY,1988
H0,GP,DDR,1,26,2.0,645.0,7,597.0,TTO,1988
H0,GP,DDR,1,37,21.0,2472.0,8,2472.0,OMN,1988
H0,GP,DDR,1,32,1969.0,7982199.0,8,7982199.0,ANT,1988
H0,GP,DDR,1,37,2837.0,14597.0,8,14597.0,CUB,1988
H0,GP,DDR,1,35,61.0,35800.0,8,35800.0,CUB,1988
H0,GP,DDR,1,05,3692.0,4132898.0,8,4132898.0,GTM,1988
H0,GP,DDR,1,40,86.0,522.0,8,522.0,GIN,1988
H0,GP,DDR,1,30,123.0,2310.0,8,2310.0,MUS,1988
H0,GP,DDR,1,08,8960.0,2620283.0,8,2620283.0,PER,1988
H0,GP,DDR,1,10,19526.0,2.4482517E7,8,2.4482517E7,ARG,1988
H0,GP,DDR,1,25,2903.0,1581553.0,8,1581553.0,AUS,1988
H0,GP,DDR,1,39,1984.0,346901.0,8,346901.0,IND,1988
H0,GP,JPN,1,38,9071.009,768636.0,8,768636.0,PHL,1988
H0,GP,DDR,1,35,1610.0,1035601.0,8,1035601.0,ISR,1988
H0,GP,DDR,1,27,371367.0,4.6405085E7,8,4.6405085E7,GRC,1988
H0,GP,JPN,1,35,50617.506,1.62324937E8,8,1.62324937E8,IDN,1988
H0,GP,DDR,1,10,5.0,699.0,8,699.0,MUS,1988
H0,GP,DDR,1,20,6791.0,1775767.0,8,1775767.0,ESP,1988
H0,GP,DDR,1,34,54878.0,1.84776531E8,8,1.84776531E8,DNK,1988
H0,GP,DDR,1,39,35671.0,3723336.0,8,3723336.0,AUT,1988
H0,GP,DDR,1,05,1170.0,3943994.0,8,3943994.0,ITA,1988
H0,GP,DDR,1,04,926968.984,1.466017463E9,8,1.466017463E9,NLD,1988
H0,GP,DDR,1,30,260235.0,1.02848027E8,8,1.02848027E8,NLD,1988
H0,GP,AUS,1,25,354.23499999999996,287916.0,7,4187.0,GRC,1988
H0,GP,AUS,1,34,112.028,103069.0,7,107140.0,NLD,1988
H0,GP,AUS,1,04,15.048,94484.0,8,94484.0,SLB,1988
H0,GP,AUS,1,25,20.923,6072.0,8,6072.0,MUS,1988
H0,GP,AUS,1,26,5.811,265.0,8,265.0,URY,1988
H0,GP,AUS,1,26,2.522,113.0,8,113.0,MEX,1988
H0,GP,DDR,1,42,3.0,15.0,8,15.0,GMB,1988
H0,GP,AUS,1,33,7477.555999999998,1508456.0,8,1508456.0,DNK,1988
H0,GP,AUS,1,13,1999.52,1453424.0,8,1453424.0,MYS,1988
H0,GP,DDR,1,40,1.0,6.0,8,6.0,CPV,1988
H0,GP,DDR,1,24,1.0,398.0,8,398.0,IRN,1988
H0,GP,AUS,1,27,14739.723999999997,3891233.0,8,3891233.0,CHN,1988
H0,GP,IND,1,34,2630.928,979244.0,8,979244.0,ITA,1988
H0,GP,IND,1,41,2119.049,168190.0,8,168190.0,MYS,1988
H0,GP,IND,1,29,16.486,905.0,8,905.0,LKA,1988
H0,GP,IND,1,21,32.424,35308.0,8,35308.0,CHN,1988
H0,GP,IND,1,40,205.672,12078.0,8,12078.0,CHN,1988
H0,GP,AUS,1,14,15120.662000000002,3370932.0,8,3370932.0,WLD,1988
H0,GP,IND,1,41,0.64,449.0,4,,BRA,1988
H0,GP,IND,1,27,123.72699999999999,44487.0,4,,HKG,1988
H0,GP,IND,1,41,5161.348999999999,95421.0,5,,AUS,1988
H0,GP,IND,1,42,326.731,48984.0,5,,JPN,1988
H0,GP,IND,1,42,4.602,10.0,5,,AUT,1988
H0,GP,AUS,1,29,49.4,12347.0,2,,ZAF,1988
H0,GP,AUS,1,27,1740.982,494310.0,2,,ZAF,1988
H0,GP,AUS,1,28,472.64300000000003,641996.0,6,,JPN,1988
H0,GP,IND,1,18,1486.684,0.0,-1,,COG,1988
H0,GP,IND,1,33,6475.439999999999,0.0,-1,,CHE,1988
H0,GP,AUS,1,33,12.93,55800.0,4,,ISL,1988
H0,GP,AUS,1,37,5421.405000000002,5.816652E7,5,,SGP,1988
H0,GP,FIN,1,27,73359.62100000001,7611106.0,8,7611106.0,GBR,1988
H0,GP,AUS,1,20,47.076,0.0,-1,,BLX,1988
H0,GP,JPN,1,35,88735.34800000004,2.05405735E8,8,2.05405735E8,OAS,1988
H0,GP,AUS,1,36,768.315,0.0,-1,,ITA,1988
H0,GP,AUS,1,30,30.188000000000002,0.0,-1,,UNS,1988
H0,GP,JPN,1,15,162.127,3102000.0,8,3102000.0,KOR,1988
H0,GP,JPN,1,13,1119.674,2195451.0,7,1647000.0,ARG,1988
H0,GP,JPN,1,25,1.81,359.0,7,359.0,ECU,1988
H0,GP,JPN,1,39,589.741,194.0,5,,AUT,1988
H0,GP,THA,1,41,15758.743,9.509084E7,5,,NLD,1988
