SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,GRC,2,26,63.73,3625000,5,3625,TUR,1988
H0,GP,GRC,2,7,16094.724,1.05E+07,8,1.05E+07,SVU,1988
H0,GP,JPN,2,37,172859.572,1.36E+07,8,1.36E+07,DDR,1988
H0,GP,DDR,2,28,558,8817,8,8817,BHR,1988
H0,GP,DDR,2,4,203,87448,8,87448,CYP,1988
H0,GP,DDR,2,33,11086,3556868,8,3556868,MUS,1988
H0,GP,DDR,2,33,215439,3.67E+08,8,3.67E+08,IND,1988
H0,GP,DDR,2,33,3947,1838962,8,1838962,RWA,1988
H0,GP,DDR,2,26,398,1027125,8,1027125,IRL,1988
H0,GP,JPN,2,39,442.312,362,5,,PNG,1988
H0,GP,DDR,2,29,249,20801,8,20801,IRQ,1988
H0,GP,DDR,2,42,56,1920,8,1920,GUF,1988
H0,GP,JPN,2,38,4486.376,905,5,,SLE,1988
H0,GP,DDR,2,42,121,5395,8,5395,GIB,1988
H0,GP,JPN,2,31,157.36,50727,5,,ARE,1988
H0,GP,JPN,2,42,2802.744,6343507,5,,NZL,1988
H0,GP,DDR,2,25,8038,5375683,8,5375683,TUR,1988
H0,GP,JPN,2,37,516.245,1281580,5,,NLD,1988
H0,GP,DDR,2,39,20050,897657,8,897657,CAN,1988
H0,GP,DDR,2,13,9,18000,8,18000,SOM,1988
H0,GP,DDR,2,33,110,40544,8,40544,KHM,1988
H0,GP,FIN,2,13,79.478,13812,8,13812,AUT,1988
H0,GP,DDR,2,8,54777,1.11E+07,8,1.11E+07,USA,1988
H0,GP,DDR,2,10,5838,2294868,8,2294868,GRC,1988
H0,GP,FIN,2,42,2918.464,214462,8,214462,JPN,1988
H0,GP,JPN,2,33,18808.559,4921641,8,4921641,BGR,1988
H0,GP,DDR,2,25,2344,2.02E+07,8,2.02E+07,YEM,1988
H0,GP,JPN,2,26,210.321,75172,7,70490,AUT,1988
H0,GP,DDR,2,28,50,568,8,568,COG,1988
H0,GP,JPN,2,32,4.066,2500,7,2000,VNM,1988
H0,GP,JPN,2,26,112.877,4250000,5,4250,CAN,1988
H0,GP,JPN,2,34,1725.917,1.06E+07,8,1.06E+07,PNG,1988
H0,GP,JPN,2,10,1087.737,1525253,8,1525253,PHL,1988
H0,GP,DDR,2,34,141,22233,8,22233,UGA,1988
H0,GP,JPN,2,22,2.521,199,8,199,PAK,1988
H0,GP,JPN,2,31,18951.782,3473205,8,3473205,BLX,1988
H0,GP,FIN,2,28,4.114,158,8,158,VNM,1988
H0,GP,DDR,2,27,456,49757,8,49757,BFA,1988
H0,GP,FIN,2,30,42.104,3117,8,3117,BGR,1988
H0,GP,FIN,2,42,38.601,5750,8,5750,IDN,1988
H0,GP,JPN,2,14,746.567,72048,8,72048,DDR,1988
H0,GP,DDR,2,25,422,129373,8,129373,DOM,1988
H0,GP,DDR,2,4,55,4795,8,4795,SGP,1988
H0,GP,JPN,2,8,230.655,3449,8,3449,ISR,1988
H0,GP,DDR,2,38,441,158384,8,158384,ALB,1988
H0,GP,JPN,2,37,2454.689,1246065,8,1246065,FJI,1988
H0,GP,JPN,2,18,10.537,30000,8,30000,YEM,1988
H0,GP,FIN,2,34,7.14,0,-1,,SAU,1988
H0,GP,FIN,2,25,1455.363,0,-1,,CHE,1988
